,Linear,Poly
LIMIT_BAL,0.8098888888888889,0.8017777777777778
AGE,0.8090740740740741,0.800962962962963
PAY_1,0.7785925925925926,0.795074074074074
PAY_2,0.8053333333333333,0.799074074074074
PAY_3,0.8092222222222222,0.8012222222222222
PAY_4,0.8093703703703704,0.8016666666666666
PAY_5,0.8098148148148148,0.8014074074074075
PAY_6,0.8112592592592592,0.7997037037037037
BILL_AMT1,0.8097037037037037,0.8012962962962963
BILL_AMT2,0.8091481481481482,0.8011111111111111
BILL_AMT3,0.809,0.801037037037037
BILL_AMT4,0.809037037037037,0.8015185185185185
BILL_AMT5,0.8094814814814815,0.8019259259259259
BILL_AMT6,0.8092222222222222,0.8015925925925926
PAY_AMT1,0.8092222222222222,0.8016666666666666
PAY_AMT2,0.8102592592592592,0.8015185185185185
PAY_AMT3,0.8094814814814815,0.8012592592592592
PAY_AMT4,0.809,0.8011851851851852
PAY_AMT5,0.8102592592592592,0.8019259259259259
PAY_AMT6,0.8091851851851852,0.802037037037037
SEX,0.8092592592592592,0.8025925925925926
EDUCATION,0.8094074074074074,0.8005555555555556
MARRIAGE,0.8101481481481482,0.8002592592592592
