EDUCATION,AGE,SEX_MAR,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,LIMIT_BAL,log_PAY_AMT1,log_PAY_AMT2,log_PAY_AMT3,log_PAY_AMT4,log_PAY_AMT5,log_PAY_AMT6,def_pay
2,24,4,2,2,0,0,0,0,20000.0,0.0,6.536691597591305,0.0,0.0,0.0,0.0,1
2,26,5,0,2,0,0,0,2,120000.0,0.0,6.90875477931522,6.90875477931522,6.90875477931522,0.0,7.601402334583733,1
2,34,5,0,0,0,0,0,0,90000.0,7.325807502595773,7.313886831633462,6.90875477931522,6.90875477931522,6.90875477931522,8.517393171418904,0
2,37,4,0,0,0,0,0,0,50000.0,7.601402334583733,7.61085279039525,7.0909098220799835,7.00397413672268,6.975413927455952,6.90875477931522,0
2,57,1,0,0,0,0,0,0,50000.0,7.601402334583733,10.510041450510977,9.210440366976517,9.105090961257085,6.536691597591305,6.522092798170152,0
1,37,2,0,0,0,0,0,0,50000.0,7.824445930877619,7.504391559161238,6.489204931325317,6.90875477931522,6.90875477931522,6.68586094706836,0
1,29,2,0,0,0,0,0,0,500000.0,10.915106645867503,10.596659732783579,10.545367754151743,9.915416123401402,9.528866827722945,9.530320210727126,0
2,23,5,0,0,0,0,0,0,100000.0,5.942799375126701,6.400257445308821,0.0,6.366470447731438,7.431299675155903,7.341483852363161,0
3,28,4,0,0,2,0,0,0,140000.0,8.110727582974489,0.0,6.07073772800249,6.90875477931522,6.90875477931522,6.90875477931522,0
3,35,2,0,0,0,0,0,0,20000.0,0.0,0.0,0.0,9.473319831787592,7.023758954738443,0.0,0
3,34,5,0,0,2,0,0,0,200000.0,7.7437032581737535,2.5649493574615367,3.9318256327243257,5.707110264748875,8.226573474977114,4.204692619390966,0
1,51,5,0,0,0,0,0,2,260000.0,9.99053642882265,9.207034914967457,9.057655284310535,10.012431639525307,0.0,8.200013648175434,0
2,41,5,0,0,0,0,0,0,630000.0,6.90875477931522,8.77971129020447,8.77971129020447,8.77971129020447,7.962415680121064,0.0,0
2,30,2,1,2,2,0,0,2,70000.0,8.071218539969863,0.0,8.006700845440367,8.006700845440367,7.313886831633462,0.0,1
1,29,2,0,0,0,0,0,0,250000.0,8.006700845440367,8.006700845440367,8.006700845440367,8.006700845440367,8.006700845440367,8.006700845440367,0
3,23,6,1,2,0,0,0,0,50000.0,0.0,7.313886831633462,7.00397413672268,7.0909098220799835,7.170888478512505,7.00397413672268,0
1,24,2,0,0,2,2,2,2,20000.0,8.071218539969863,0.0,7.313886831633462,0.0,7.409136443920128,0.0,1
1,49,1,0,0,0,0,0,0,320000.0,9.245610986058102,9.210440366976517,11.237712001989848,9.90353755128617,12.183827036582853,10.819798284210286,0
1,49,4,1,0,0,0,0,0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,29,5,1,0,0,0,0,0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,39,5,0,0,0,0,0,0,130000.0,8.006700845440367,7.338238150065589,6.90875477931522,7.601402334583733,6.836259277277067,10.427180042008942,0
2,39,4,0,0,0,0,0,0,120000.0,5.75890177387728,5.75890177387728,0.0,6.450470422144176,5.75890177387728,0.0,1
2,26,5,2,0,0,2,2,2,70000.0,7.60489448081162,8.183955717304954,0.0,8.189244525735901,0.0,7.507141079727608,1
1,40,4,0,0,0,0,0,0,450000.0,9.874522074243114,7.295735072749282,6.329720905522696,0.0,0.0,7.029087564149662,1
